time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
2810000	26	9.51036	58.4122	16.4861	1.70477	0.492964
2810000	-1	3.46045	47.9433	19.3726	0.184393	0.00408938
2810000	-1	3.46045	47.9433	19.3726	0.184393	0.00408938
2820000	20	-3.6545	13.7141	0.784912	2.64003	0.293873
2820000	21	0.0120847	29.9797	0.446818	1.45586	-0.15999
2820000	22	-3.65452	13.7141	0.784935	2.64005	0.29388
2820000	-1	3.65606	48.0984	19.3028	0.298186	0.0105007
2820000	-1	3.65606	48.0984	19.3028	0.298186	0.0105007
2830000	20	-3.68697	13.7693	0.749721	2.69715	0.276202
2830000	21	0.0320581	30.0421	0.420693	1.38011	-0.167348
2830000	22	-3.687	13.7693	0.749744	2.69718	0.276211
2830000	-1	4.03114	48.4974	19.232	0.468639	0.0278153
2830000	-1	4.03114	48.4974	19.232	0.468639	0.0278153
2840000	20	-3.68077	13.8157	0.711742	2.74057	0.256691
2840000	21	0.0459592	30.0573	0.372246	1.30969	-0.170866
2840000	22	-3.68079	13.8157	0.711766	2.74061	0.256702
2840000	-1	4.45033	48.8106	19.0641	0.479708	0.0382428
2840000	-1	4.45033	48.8106	19.0641	0.479708	0.0382428
2850000	20	-3.63319	13.8677	0.672603	2.76118	0.233282
2850000	21	0.0644098	30.2069	0.444495	1.26928	-0.161012
2850000	22	-3.63321	13.8677	0.672626	2.76123	0.233295
2850000	27	5.06136	49.2347	18.9129	0.495711	0.0509508
2850000	28	5.06136	49.2347	18.9129	0.495711	0.0509508
2860000	20	-3.56218	13.9466	0.645356	2.75029	0.203953
2860000	21	0.0803455	30.3521	0.501023	1.24854	-0.144829
2860000	22	-3.56219	13.9466	0.645377	2.75035	0.203968
2860000	27	5.76524	49.7057	18.7199	0.505097	0.0662089
2860000	28	5.76524	49.7057	18.7199	0.505097	0.0662089
2870000	20	-3.47676	14.0176	0.619101	2.73589	0.177821
2870000	21	0.0868188	30.4179	0.486665	1.22098	-0.132309
2870000	22	-3.47677	14.0176	0.619122	2.73596	0.177838
2870000	27	6.60724	50.2616	18.5503	0.517724	0.0810307
2870000	28	6.60724	50.2616	18.5503	0.517724	0.0810307
2880000	20	-3.39465	14.1091	0.616723	2.70324	0.149846
2880000	21	0.0959854	30.5725	0.53546	1.24098	-0.102977
